Code,Constituency name,Source URL,Recommendation
W07000081,Aberafan Maesteg,https://stopthetories.vote/parl/aberafan-maesteg,Any
S14000060,Aberdeen North,https://stopthetories.vote/parl/aberdeen-north,SNP
S14000061,Aberdeen South,https://stopthetories.vote/parl/aberdeen-south,SNP
S14000062,Aberdeenshire North and Moray East,https://stopthetories.vote/parl/aberdeenshire-north-and-moray-east,SNP
S14000063,Airdrie and Shotts,https://stopthetories.vote/parl/airdrie-and-shotts,Labour or SNP
E14001063,Aldershot,https://stopthetories.vote/parl/aldershot,Labour
E14001064,Aldridge-Brownhills,https://stopthetories.vote/parl/aldridge-brownhills,Labour
S14000064,Alloa and Grangemouth,https://stopthetories.vote/parl/alloa-and-grangemouth,SNP
E14001065,Altrincham and Sale West,https://stopthetories.vote/parl/altrincham-and-sale-west,Labour
W07000082,Alyn and Deeside,https://stopthetories.vote/parl/alyn-and-deeside,Labour
E14001066,Amber Valley,https://stopthetories.vote/parl/amber-valley,Labour
S14000065,Angus and Perthshire Glens,https://stopthetories.vote/parl/angus-and-perthshire-glens,SNP
S14000066,Arbroath and Broughty Ferry,https://stopthetories.vote/parl/arbroath-and-broughty-ferry,SNP
S14000067,"Argyll, Bute and South Lochaber",https://stopthetories.vote/parl/argyll-bute-and-south-lochaber,SNP
E14001067,Arundel and South Downs,https://stopthetories.vote/parl/arundel-and-south-downs,TBC
E14001068,Ashfield,https://stopthetories.vote/parl/ashfield,Labour
E14001069,Ashford,https://stopthetories.vote/parl/ashford,Labour
E14001070,Ashton-under-Lyne,https://stopthetories.vote/parl/ashton-under-lyne,Any
E14001071,Aylesbury,https://stopthetories.vote/parl/aylesbury,TBC
S14000107,"Ayr, Carrick and Cumnock",https://stopthetories.vote/parl/ayr-carrick-and-cumnock,TBC
E14001072,Banbury,https://stopthetories.vote/parl/banbury,Labour
W07000083,Bangor Aberconwy,https://stopthetories.vote/parl/bangor-aberconwy,Labour
E14001073,Barking,https://stopthetories.vote/parl/barking,Any
E14001074,Barnsley North,https://stopthetories.vote/parl/barnsley-north,Labour
E14001075,Barnsley South,https://stopthetories.vote/parl/barnsley-south,Labour
E14001076,Barrow and Furness,https://stopthetories.vote/parl/barrow-and-furness,Labour
E14001077,Basildon and Billericay,https://stopthetories.vote/parl/basildon-and-billericay,Labour
E14001078,Basingstoke,https://stopthetories.vote/parl/basingstoke,Labour
E14001079,Bassetlaw,https://stopthetories.vote/parl/bassetlaw,Labour
E14001080,Bath,https://stopthetories.vote/parl/bath,Any
S14000068,Bathgate and Linlithgow,https://stopthetories.vote/parl/bathgate-and-linlithgow,TBC
E14001081,Battersea,https://stopthetories.vote/parl/battersea,Any
E14001082,Beaconsfield,https://stopthetories.vote/parl/beaconsfield,Labour
E14001083,Beckenham and Penge,https://stopthetories.vote/parl/beckenham-and-penge,Labour
E14001084,Bedford,https://stopthetories.vote/parl/bedford,Labour
N05000001,Belfast East,https://stopthetories.vote/parl/belfast-east,TBC
N05000002,Belfast North,https://stopthetories.vote/parl/belfast-north,TBC
N05000003,Belfast South and Mid Down,https://stopthetories.vote/parl/belfast-south-and-mid-down,TBC
N05000004,Belfast West,https://stopthetories.vote/parl/belfast-west,TBC
E14001085,Bermondsey and Old Southwark,https://stopthetories.vote/parl/bermondsey-and-old-southwark,TBC
S14000108,"Berwickshire, Roxburgh and Selkirk",https://stopthetories.vote/parl/berwickshire-roxburgh-and-selkirk,SNP
E14001086,Bethnal Green and Stepney,https://stopthetories.vote/parl/bethnal-green-and-stepney,Any
E14001087,Beverley and Holderness,https://stopthetories.vote/parl/beverley-and-holderness,Labour
E14001088,Bexhill and Battle,https://stopthetories.vote/parl/bexhill-and-battle,Labour
E14001089,Bexleyheath and Crayford,https://stopthetories.vote/parl/bexleyheath-and-crayford,Labour
E14001090,Bicester and Woodstock,https://stopthetories.vote/parl/bicester-and-woodstock,TBC
E14001091,Birkenhead,https://stopthetories.vote/parl/birkenhead,Any
E14001092,Birmingham Edgbaston,https://stopthetories.vote/parl/birmingham-edgbaston,Any
E14001093,Birmingham Erdington,https://stopthetories.vote/parl/birmingham-erdington,Labour
E14001094,Birmingham Hall Green and Moseley,https://stopthetories.vote/parl/birmingham-hall-green-and-moseley,Any
E14001095,Birmingham Hodge Hill and Solihull North,https://stopthetories.vote/parl/birmingham-hodge-hill-and-solihull-north,Any
E14001096,Birmingham Ladywood,https://stopthetories.vote/parl/birmingham-ladywood,Any
E14001097,Birmingham Northfield,https://stopthetories.vote/parl/birmingham-northfield,Labour
E14001098,Birmingham Perry Barr,https://stopthetories.vote/parl/birmingham-perry-barr,Any
E14001099,Birmingham Selly Oak,https://stopthetories.vote/parl/birmingham-selly-oak,Any
E14001100,Birmingham Yardley,https://stopthetories.vote/parl/birmingham-yardley,Any
E14001101,Bishop Auckland,https://stopthetories.vote/parl/bishop-auckland,Labour
E14001102,Blackburn,https://stopthetories.vote/parl/blackburn,Any
E14001103,Blackley and Middleton South,https://stopthetories.vote/parl/blackley-and-middleton-south,Any
E14001104,Blackpool North and Fleetwood,https://stopthetories.vote/parl/blackpool-north-and-fleetwood,Labour
E14001105,Blackpool South,https://stopthetories.vote/parl/blackpool-south,Labour
W07000084,Blaenau Gwent and Rhymney,https://stopthetories.vote/parl/blaenau-gwent-and-rhymney,Labour
E14001106,Blaydon and Consett,https://stopthetories.vote/parl/blaydon-and-consett,Labour
E14001107,Blyth and Ashington,https://stopthetories.vote/parl/blyth-and-ashington,Labour
E14001108,Bognor Regis and Littlehampton,https://stopthetories.vote/parl/bognor-regis-and-littlehampton,Labour
E14001109,Bolsover,https://stopthetories.vote/parl/bolsover,Labour
E14001110,Bolton North East,https://stopthetories.vote/parl/bolton-north-east,Labour
E14001111,Bolton South and Walkden,https://stopthetories.vote/parl/bolton-south-and-walkden,Any
E14001112,Bolton West,https://stopthetories.vote/parl/bolton-west,Labour
E14001113,Bootle,https://stopthetories.vote/parl/bootle,Any
E14001114,Boston and Skegness,https://stopthetories.vote/parl/boston-and-skegness,Labour
E14001115,Bournemouth East,https://stopthetories.vote/parl/bournemouth-east,Labour
E14001116,Bournemouth West,https://stopthetories.vote/parl/bournemouth-west,Labour
E14001117,Bracknell,https://stopthetories.vote/parl/bracknell,Labour
E14001118,Bradford East,https://stopthetories.vote/parl/bradford-east,Any
E14001119,Bradford South,https://stopthetories.vote/parl/bradford-south,Labour
E14001120,Bradford West,https://stopthetories.vote/parl/bradford-west,Any
E14001121,Braintree,https://stopthetories.vote/parl/braintree,Labour
W07000085,"Brecon, Radnor and Cwm Tawe",https://stopthetories.vote/parl/brecon-radnor-and-cwm-tawe,TBC
E14001122,Brent East,https://stopthetories.vote/parl/brent-east,Any
E14001123,Brent West,https://stopthetories.vote/parl/brent-west,Any
E14001124,Brentford and Isleworth,https://stopthetories.vote/parl/brentford-and-isleworth,Any
E14001125,Brentwood and Ongar,https://stopthetories.vote/parl/brentwood-and-ongar,TBC
W07000086,Bridgend,https://stopthetories.vote/parl/bridgend,Labour
E14001126,Bridgwater,https://stopthetories.vote/parl/bridgwater,Labour
E14001127,Bridlington and The Wolds,https://stopthetories.vote/parl/bridlington-and-the-wolds,Labour
E14001128,Brigg and Immingham,https://stopthetories.vote/parl/brigg-and-immingham,Labour
E14001129,Brighton Kemptown and Peacehaven,https://stopthetories.vote/parl/brighton-kemptown-and-peacehaven,Any
E14001130,Brighton Pavilion,https://stopthetories.vote/parl/brighton-pavilion,Green or Labour
E14001131,Bristol Central,https://stopthetories.vote/parl/bristol-central,Labour or Green
E14001132,Bristol East,https://stopthetories.vote/parl/bristol-east,Any
E14001133,Bristol North East,https://stopthetories.vote/parl/bristol-north-east,Labour
E14001134,Bristol North West,https://stopthetories.vote/parl/bristol-north-west,Any
E14001135,Bristol South,https://stopthetories.vote/parl/bristol-south,Any
E14001136,Broadland and Fakenham,https://stopthetories.vote/parl/broadland-and-fakenham,Labour
E14001137,Bromley and Biggin Hill,https://stopthetories.vote/parl/bromley-and-biggin-hill,Labour
E14001138,Bromsgrove,https://stopthetories.vote/parl/bromsgrove,Labour
E14001139,Broxbourne,https://stopthetories.vote/parl/broxbourne,Labour
E14001140,Broxtowe,https://stopthetories.vote/parl/broxtowe,Labour
E14001141,Buckingham and Bletchley,https://stopthetories.vote/parl/buckingham-and-bletchley,Labour
E14001142,Burnley,https://stopthetories.vote/parl/burnley,Labour
E14001143,Burton and Uttoxeter,https://stopthetories.vote/parl/burton-and-uttoxeter,Labour
E14001144,Bury North,https://stopthetories.vote/parl/bury-north,Labour
E14001145,Bury South,https://stopthetories.vote/parl/bury-south,Labour
E14001146,Bury St Edmunds and Stowmarket,https://stopthetories.vote/parl/bury-st-edmunds-and-stowmarket,Labour
W07000087,Caerfyrddin,https://stopthetories.vote/parl/caerfyrddin,TBC
W07000088,Caerphilly,https://stopthetories.vote/parl/caerphilly,Labour
S14000069,"Caithness, Sutherland and Easter Ross",https://stopthetories.vote/parl/caithness-sutherland-and-easter-ross,TBC
E14001147,Calder Valley,https://stopthetories.vote/parl/calder-valley,Labour
E14001148,Camborne and Redruth,https://stopthetories.vote/parl/camborne-and-redruth,Labour
E14001149,Cambridge,https://stopthetories.vote/parl/cambridge,TBC
E14001150,Cannock Chase,https://stopthetories.vote/parl/cannock-chase,Labour
E14001151,Canterbury,https://stopthetories.vote/parl/canterbury,Labour
W07000089,Cardiff East,https://stopthetories.vote/parl/cardiff-east,Any
W07000090,Cardiff North,https://stopthetories.vote/parl/cardiff-north,Labour
W07000091,Cardiff South and Penarth,https://stopthetories.vote/parl/cardiff-south-and-penarth,Any
W07000092,Cardiff West,https://stopthetories.vote/parl/cardiff-west,Labour
E14001152,Carlisle,https://stopthetories.vote/parl/carlisle,Labour
E14001153,Carshalton and Wallington,https://stopthetories.vote/parl/carshalton-and-wallington,Lib Dem
E14001154,Castle Point,https://stopthetories.vote/parl/castle-point,Labour
S14000109,Central Ayrshire,https://stopthetories.vote/parl/central-ayrshire,TBC
E14001155,Central Devon,https://stopthetories.vote/parl/central-devon,Labour
E14001156,Central Suffolk and North Ipswich,https://stopthetories.vote/parl/central-suffolk-and-north-ipswich,Labour
W07000093,Ceredigion Preseli,https://stopthetories.vote/parl/ceredigion-preseli,Plaid Cymru
E14001157,Chatham and Aylesford,https://stopthetories.vote/parl/chatham-and-aylesford,Labour
E14001158,Cheadle,https://stopthetories.vote/parl/cheadle,Lib Dem
E14001159,Chelmsford,https://stopthetories.vote/parl/chelmsford,TBC
E14001160,Chelsea and Fulham,https://stopthetories.vote/parl/chelsea-and-fulham,Labour
E14001161,Cheltenham,https://stopthetories.vote/parl/cheltenham,Lib Dem
E14001162,Chesham and Amersham,https://stopthetories.vote/parl/chesham-and-amersham,Lib Dem
E14001163,Chester North and Neston,https://stopthetories.vote/parl/chester-north-and-neston,Any
E14001164,Chester South and Eddisbury,https://stopthetories.vote/parl/chester-south-and-eddisbury,Labour
E14001165,Chesterfield,https://stopthetories.vote/parl/chesterfield,Labour
E14001166,Chichester,https://stopthetories.vote/parl/chichester,Lib Dem
E14001167,Chingford and Woodford Green,https://stopthetories.vote/parl/chingford-and-woodford-green,Labour
E14001168,Chippenham,https://stopthetories.vote/parl/chippenham,Lib Dem
E14001169,Chipping Barnet,https://stopthetories.vote/parl/chipping-barnet,Labour
E14001170,Chorley,https://stopthetories.vote/parl/chorley,TBC
E14001171,Christchurch,https://stopthetories.vote/parl/christchurch,TBC
E14001172,Cities of London and Westminster,https://stopthetories.vote/parl/cities-of-london-and-westminster,TBC
E14001173,City of Durham,https://stopthetories.vote/parl/city-of-durham,Labour
E14001174,Clacton,https://stopthetories.vote/parl/clacton,Labour
E14001175,Clapham and Brixton Hill,https://stopthetories.vote/parl/clapham-and-brixton-hill,Any
W07000094,Clwyd East,https://stopthetories.vote/parl/clwyd-east,Labour
W07000095,Clwyd North,https://stopthetories.vote/parl/clwyd-north,Labour
S14000070,Coatbridge and Bellshill,https://stopthetories.vote/parl/coatbridge-and-bellshill,Labour or SNP
E14001176,Colchester,https://stopthetories.vote/parl/colchester,Labour
E14001177,Colne Valley,https://stopthetories.vote/parl/colne-valley,Labour
E14001178,Congleton,https://stopthetories.vote/parl/congleton,Labour
E14001179,Corby and East Northamptonshire,https://stopthetories.vote/parl/corby-and-east-northamptonshire,Labour
E14001180,Coventry East,https://stopthetories.vote/parl/coventry-east,Labour
E14001181,Coventry North West,https://stopthetories.vote/parl/coventry-north-west,Labour
E14001182,Coventry South,https://stopthetories.vote/parl/coventry-south,Labour
S14000071,Cowdenbeath and Kirkcaldy,https://stopthetories.vote/parl/cowdenbeath-and-kirkcaldy,Labour or SNP
E14001183,Cramlington and Killingworth,https://stopthetories.vote/parl/cramlington-and-killingworth,Labour
E14001184,Crawley,https://stopthetories.vote/parl/crawley,Labour
E14001185,Crewe and Nantwich,https://stopthetories.vote/parl/crewe-and-nantwich,Labour
